Reward,Partition
1.4397625435200263,"{0: 3, 1: 3, 2: 1, 3: 2, 4: 3, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 4, 11: 1, 12: 4, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 1, 19: 3, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 2, 26: 2, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 1, 33: 1, 34: 1, 35: 4, 36: 4, 37: 1, 38: 3, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 4, 46: 4, 47: 2, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 3, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 1, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 4, 69: 2, 70: 1, 71: 1, 72: 4, 73: 1, 74: 4, 75: 4, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 3, 92: 2, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 1}"
1.4397625435200263,"{0: 3, 1: 3, 2: 1, 3: 2, 4: 3, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 4, 11: 1, 12: 4, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 1, 19: 3, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 2, 26: 2, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 1, 33: 1, 34: 1, 35: 4, 36: 4, 37: 1, 38: 3, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 4, 46: 4, 47: 2, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 3, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 1, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 4, 69: 2, 70: 1, 71: 1, 72: 4, 73: 1, 74: 4, 75: 4, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 3, 92: 2, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 1}"
1.4397518840764387,"{0: 3, 1: 3, 2: 1, 3: 2, 4: 4, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 4, 11: 1, 12: 4, 13: 4, 14: 4, 15: 2, 16: 1, 17: 1, 18: 1, 19: 3, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 2, 26: 2, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 1, 33: 1, 34: 1, 35: 4, 36: 4, 37: 1, 38: 3, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 4, 46: 4, 47: 2, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 3, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 1, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 3, 69: 2, 70: 1, 71: 1, 72: 3, 73: 1, 74: 4, 75: 4, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 3, 92: 2, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 1}"
1.439684550349805,"{0: 4, 1: 3, 2: 1, 3: 3, 4: 3, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 1, 11: 1, 12: 4, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 1, 19: 4, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 2, 26: 3, 27: 2, 28: 2, 29: 4, 30: 2, 31: 1, 32: 1, 33: 1, 34: 3, 35: 3, 36: 4, 37: 3, 38: 4, 39: 4, 40: 1, 41: 3, 42: 4, 43: 1, 44: 1, 45: 4, 46: 4, 47: 2, 48: 2, 49: 3, 50: 2, 51: 2, 52: 2, 53: 1, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 4, 60: 4, 61: 3, 62: 3, 63: 3, 64: 3, 65: 1, 66: 4, 67: 3, 68: 3, 69: 2, 70: 1, 71: 4, 72: 3, 73: 1, 74: 4, 75: 1, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 4, 88: 2, 89: 2, 90: 4, 91: 1, 92: 3, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 3}"
1.4396720220079213,"{0: 3, 1: 3, 2: 1, 3: 2, 4: 3, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 4, 11: 1, 12: 4, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 1, 19: 3, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 2, 26: 2, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 1, 33: 1, 34: 1, 35: 4, 36: 4, 37: 1, 38: 3, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 1, 46: 4, 47: 2, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 3, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 4, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 4, 69: 2, 70: 1, 71: 4, 72: 4, 73: 1, 74: 4, 75: 1, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 3, 92: 2, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 1}"
1.4396584240655075,"{0: 4, 1: 3, 2: 1, 3: 3, 4: 4, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 1, 11: 1, 12: 4, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 2, 19: 4, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 3, 26: 3, 27: 2, 28: 2, 29: 4, 30: 2, 31: 1, 32: 2, 33: 1, 34: 1, 35: 3, 36: 4, 37: 1, 38: 4, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 1, 46: 4, 47: 1, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 1, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 4, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 3, 69: 2, 70: 1, 71: 4, 72: 3, 73: 1, 74: 4, 75: 4, 76: 3, 77: 4, 78: 1, 79: 3, 80: 1, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 2, 92: 3, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 1}"
1.4396559459920093,"{0: 4, 1: 3, 2: 1, 3: 3, 4: 4, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 1, 11: 1, 12: 1, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 1, 19: 4, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 3, 26: 3, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 1, 33: 1, 34: 4, 35: 3, 36: 4, 37: 1, 38: 4, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 4, 46: 4, 47: 2, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 2, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 4, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 3, 69: 2, 70: 1, 71: 1, 72: 3, 73: 1, 74: 4, 75: 1, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 2, 92: 3, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 4}"
1.439646047818932,"{0: 4, 1: 3, 2: 1, 3: 3, 4: 4, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 4, 11: 1, 12: 4, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 2, 19: 4, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 3, 26: 3, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 2, 33: 1, 34: 1, 35: 3, 36: 4, 37: 1, 38: 4, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 1, 46: 4, 47: 1, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 1, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 4, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 3, 69: 2, 70: 1, 71: 1, 72: 3, 73: 1, 74: 4, 75: 4, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 2, 92: 3, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 1}"
1.4396440023702264,"{0: 4, 1: 3, 2: 1, 3: 3, 4: 1, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 4, 11: 1, 12: 1, 13: 1, 14: 4, 15: 2, 16: 1, 17: 4, 18: 1, 19: 3, 20: 4, 21: 2, 22: 2, 23: 4, 24: 4, 25: 3, 26: 3, 27: 2, 28: 2, 29: 4, 30: 2, 31: 1, 32: 1, 33: 1, 34: 4, 35: 3, 36: 1, 37: 3, 38: 1, 39: 4, 40: 1, 41: 4, 42: 4, 43: 2, 44: 1, 45: 1, 46: 4, 47: 1, 48: 2, 49: 3, 50: 3, 51: 2, 52: 2, 53: 2, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 4, 60: 4, 61: 2, 62: 3, 63: 3, 64: 3, 65: 1, 66: 4, 67: 3, 68: 3, 69: 2, 70: 4, 71: 4, 72: 3, 73: 4, 74: 4, 75: 1, 76: 3, 77: 4, 78: 1, 79: 3, 80: 1, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 2, 89: 3, 90: 4, 91: 2, 92: 3, 93: 1, 94: 1, 95: 1, 96: 4, 97: 1, 98: 4}"
1.4396399286841597,"{0: 3, 1: 3, 2: 1, 3: 3, 4: 3, 5: 1, 6: 1, 7: 4, 8: 1, 9: 2, 10: 4, 11: 1, 12: 4, 13: 4, 14: 3, 15: 2, 16: 1, 17: 1, 18: 1, 19: 3, 20: 1, 21: 2, 22: 2, 23: 4, 24: 4, 25: 3, 26: 3, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 1, 33: 1, 34: 1, 35: 4, 36: 4, 37: 1, 38: 3, 39: 4, 40: 1, 41: 1, 42: 4, 43: 2, 44: 1, 45: 1, 46: 4, 47: 2, 48: 2, 49: 3, 50: 2, 51: 2, 52: 2, 53: 2, 54: 1, 55: 2, 56: 1, 57: 2, 58: 3, 59: 4, 60: 4, 61: 3, 62: 3, 63: 3, 64: 4, 65: 1, 66: 4, 67: 3, 68: 4, 69: 2, 70: 1, 71: 4, 72: 4, 73: 1, 74: 4, 75: 1, 76: 3, 77: 4, 78: 1, 79: 3, 80: 4, 81: 2, 82: 4, 83: 4, 84: 4, 85: 1, 86: 3, 87: 3, 88: 3, 89: 3, 90: 4, 91: 2, 92: 3, 93: 4, 94: 1, 95: 1, 96: 4, 97: 1, 98: 1}"
